title,year,genre,duration
The Extra Girl,1923,Comedy,68
Il vecchio castello,1923,Drama,101
La leggenda di Gosta Berlings,1924,Drama,183
Haldane of the Secret Service,1923,Adventure,84
Il gobbo di Notre Dame,1923,Drama,133
Little Old New York,1923,Comedy,110
Accidenti che ospitalità!,1923,Comedy,65
Il pellegrino,1923,Comedy,47
Raskolnikow,1923,Drama,135
Rosita,1923,Romance,99
La rosa sulle rotaie,1923,Drama,418
Preferisco l'ascensore,1923,Action,74
Scaramouche,1923,Drama,124
Il tesoro,1923,Drama,80
The Shock,1923,Drama,96
Souls for Sale,1923,Comedy,90
Die Straße,1923,Drama,74
La notte di San Silvestro,1924,Drama,66
I dieci comandamenti,1923,Biography,136
Senti amore mio,1923,Comedy,63
Das Wachsfigurenkabinett,1924,Fantasy,107
The White Rose,1923,Drama,100
La suora bianca,1923,Drama,143
White Tiger,1923,Crime,86
Perché preoccuparsi?,1923,Adventure,63
La donna di Parigi,1923,Drama,82
Zaza,1923,Romance,84
Aelita,1924,Adventure,111
America,1924,Drama,141
Beau Brummel,1924,Drama,135
Black Oxen,1923,Drama,80
Captain January,1924,Drama,64
The Chechahcos,1923,Adventure,87
Dante's Inferno,1924,Drama,60
Dorothy Vernon of Haddon Hall,1924,Drama,135
The Enchanted Cottage,1924,Drama,70
The Family Secret,1924,Drama,70
La fille de l'eau,1925,Drama,71
Finanze del granduca,1924,Comedy,80
La zarina,1924,Comedy,69
Tutte e nessuna,1924,Comedy,87
Quello che prende gli schiaffi,1924,Drama,95
Her Night of Romance,1924,Comedy,70
Il re degli scapoli,1924,Comedy,53
Futurismo,1924,Adventure,135
Il cavallo d'acciaio,1924,History,150
Isn't Life Wonderful,1924,Drama,115
Janice Meredith,1924,Drama,153
Kean,1924,Drama,136
L'ultima risata,1924,Drama,77
Manhandled,1924,Drama,75
Matrimonio in quattro,1924,Comedy,85
Michael,1924,Drama,93
Monsieur Beaucaire,1924,Drama,106
Il navigatore,1924,Action,59
Le straordinarie avventure di mr. West nel paese dei bolscevichi,1924,Comedy,94
I Nibelunghi: La vendetta di Crimilde,1924,Adventure,129
I Nibelunghi: Sigfrido,1924,Adventure,143
Open All Night,1924,Comedy,64
Orlacs Hände,1924,Crime,92
Papirosnitsa ot Mosselproma,1924,Comedy,78
Paris qui dort,1924,Sci-Fi,59
Peter Pan,1924,Adventure,105
The Red Lily,1924,Drama,81
Romola,1924,Drama,102
The Sea Hawk,1924,Adventure,123
Secrets,1924,Drama,108
La palla n° 13,1924,Action,45
Sciopero,1925,Drama,82
Il ladro di Bagdad,1924,Adventure,155
L'ombra bianca,1924,Drama,82
Arance selvatiche,1924,Drama,88
Il vino della giovinezza,1924,Comedy,72
Yolanda,1924,Romance,74
Le avventure del principe Achmed,1926,Animation,80
La grande parata,1925,Drama,151
Body and Soul,1925,Drama,102
Braveheart,1925,Western,71
La corazzata Potemkin,1925,Drama,75
The Circle,1925,Drama,71
Clash of the Wolves,1925,Adventure,74
Cobra,1925,Drama,70
Don Q Son of Zorro,1925,Adventure,111
L'angelo del focolare,1925,Drama,111
Aquila nera,1925,Action,73
Il fantasma del Moulin Rouge,1925,Drama,90
Il fu Mattia Pascal,1926,Drama,170
Viva lo sport,1925,Comedy,77
La via senza gioia,1925,Drama,125
Furusato no uta,1926,Drama,45
La fidanzata di Glomdal,1926,Drama,115
Io e la vacca,1925,Comedy,69
La febbre dell'oro,1925,Adventure,95
The Goose Woman,1925,Drama,80
Rapacità,1924,Drama,140
Gribiche,1926,Drama,113
Her Sister from Paris,1925,Comedy,70
El húsar de la muerte,1925,Biography,65
Il ventaglio di Lady Windermere,1925,Comedy,120
Lady of the Night,1925,Drama,70
The Lady,1925,Drama,96
Lazybones,1925,Action,80
Lights of Old Broadway,1925,Drama,70
Little Annie Rooney,1925,Drama,94
Il piccolo colonnello,1935,Comedy,81
Un mondo perduto,1925,Adventure,110
La vedova allegra,1925,Drama,137
The Monster,1925,Comedy,86
The Mystic,1925,Drama,70
Orochi,1925,Action,74
Parisian Love,1925,Crime,70
Paths to Paradise,1925,Comedy,78
Il fantasma dell'opera,1925,Horror,93
The Plastic Age,1925,Comedy,73
Il labirinto delle passioni,1925,Drama,75
Poil de carotte,1925,Drama,108
Prem Sanyas,1925,Drama,97
Pretty Ladies,1925,Comedy,74
The Rag Man,1925,Drama,68
The Red Kimona,1925,Biography,77
Riders of the Purple Sage,1925,Action,56
The Road to Yesterday,1925,Drama,107
Zingaresca,1925,Comedy,104
Sally Irene and Mary,1925,Comedy,58
The Salvation Hunters,1925,Drama,70
Le sette probabilità,1925,Comedy,56
She,1925,Adventure,98
Soul-Fire,1925,Drama,88
Die Stadt ohne Juden,1924,Drama,80
Stage Struck,1925,Comedy,70
Stella Dallas,1925,Drama,110
Tumbleweeds,1925,Western,78
Il trio infernale,1925,Crime,86
The Vanishing American,1925,Western,110
Varieté,1925,Crime,104
Visages d'enfants,1925,Drama,114
Il viaggio immaginario,1926,Comedy,80
Il mago di Oz,1925,Comedy,81
Wolfblood,1925,Adventure,68
A Woman of the World,1925,Comedy,70
Zakroyshchik iz Torzhka,1925,Comedy,65
Zander the Great,1925,Action,80
L'erede dei Grishus,1925,Drama,110
Bardelys il magnifico,1926,Drama,90
The Bat,1926,Mystery,86
Se perdo la pazienza...,1926,Action,77
Beau Geste,1926,Action,101
The Bells,1926,Crime,68
The Better 'Ole,1926,Comedy,95
Beverly of Graustark,1926,Comedy,70
Il pirata nero,1926,Adventure,88
Il corvo,1926,Crime,86
L'aquila azzurra,1926,Action,58
La Bohème,1926,Drama,95
The Boob,1926,Comedy,64
Brown of Harvard,1926,Action,85
Brudeferden i Hardanger,1926,Drama,104
Dancing Mothers,1926,Drama,66
Don Juan,1926,Adventure,110
Ella Cinders,1926,Comedy,75
Eve's Leaves,1926,Comedy,75
Exit Smiling,1926,Comedy,77
Faust,1926,Drama,107
Le disgrazie di adamo,1926,Comedy,70
Fine Manners,1926,Comedy,70
La carne e il diavolo,1926,Drama,112
Il re degli straccioni,1926,Action,58
Geheimnisse einer Seele,1926,Drama,97
The Great K & A Train Robbery,1926,Western,53
Hands Up!,1926,Action,60
La montagna dell'amore,1926,Drama,100
His First Flame,1927,Comedy,48
It's the Old Army Game,1926,Adventure,70
Kid Boots,1926,Comedy,77
Kiki,1926,Comedy,108
Una pagina di follia,1926,Drama,70
Il pensionante,1927,Crime,68
Love 'Em and Leave 'Em,1926,Comedy,76
Maciste all'inferno,1925,Action,95
The Magician,1926,Drama,83
Mantrap,1926,Comedy,86
Mare Nostrum,1926,Drama,102
La madre,1926,Drama,89
Metropolis,1927,Drama,153
Miss Mend,1926,Adventure,250
My Lady of Whims,1925,Comedy,59
Namus,1925,Drama,62
Nanà,1926,Drama,150
Nell Gwyn,1926,Biography,80
Old Ironsides,1926,Drama,111
Secondo la legge,1926,Drama,80
Protsess o tryokh millionakh,1926,Comedy,66
The Road to Mandalay,1926,Drama,70
Der Rosenkavalier,1925,Comedy,105
La lettera rossa,1926,Drama,115
Il mostro del mare,1926,Action,136
La corsa a ostacoli di Shamrock,1926,Romance,66
Shinel,1926,Drama,84
The Show-Off,1926,Comedy,82
La vita è un charleston,1926,Comedy,80
So's Your Old Man,1926,Comedy,67
Il figlio dello sceicco,1926,Adventure,68
The Sorrows of Satan,1926,Drama,90
Passerotti,1926,Drama,109
La grande sparata,1926,Comedy,75
Der Student von Prag,1926,Drama,110
Tartufo,1925,Drama,74
La tentatrice,1926,Drama,62
I tre furfanti,1926,Romance,92
Torrent,1926,Drama,88
Di corsa dietro un cuore,1926,Adventure,62
The Volga Boatman,1926,Drama,120
L'allievo di West Point,1927,Drama,95
Gloria,1926,Comedy,116
Fiore del deserto,1926,Drama,89
Almost Human,1927,Drama,60
La mandragora,1928,Drama,108
Annie Laurie,1927,Drama,90
Baby ryazanskie,1927,Drama,67
Barbed Wire,1927,Drama,67
The Beloved Rogue,1927,Adventure,99
Café Elektric,1927,Drama,91
Captain Salvation,1927,Drama,87
Casanova,1927,Biography,132
Il castello degli spettri,1927,Comedy,108
Chicago,1927,Comedy,118
I figli del divorzio,1927,Drama,70
Tuo per sempre,1927,Comedy,66
La ragazza con la cappelliera,1927,Comedy,60
Il declino,1927,Adventure,80
L'atleta innamorato,1927,Drama,62
Fragile virtù,1927,Romance,80
The Fair Co-Ed,1927,Comedy,71
The First Auto,1927,Comedy,75
The Gaucho,1927,Adventure,115
Come vinsi la guerra,1926,Action,67
Get Your Man,1927,Comedy,63
La glace à trois faces,1983,Drama,45
La Felicità,1935,Comedy,95
Hindle Wakes,1927,Drama,120
Hotel Imperial,1927,Drama,85
Hula,1927,Drama,64
Cosetta,1927,Comedy,72
Il cantante di jazz,1927,Drama,88
Le joueur d'échecs,1927,Drama,135
Il fratello minore,1927,Comedy,82
Il re dei re,1927,Biography,160
La fine di San Pietroburgo,1927,Drama,85
Il Giglio nelle tenebre,1927,Drama,104
Il fantasma del castello,1927,Horror,69
Le sue ultime mutandine,1927,Comedy,60
Anna Karenina,1927,Drama,82
The Love of Sunya,1927,Drama,78
Man Woman and Sin,1927,Drama,70
